observed_on,time_observed_at,coordinates_obscured,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
7/28/2018,2018-07-28 21:01:02 UTC,FALSE,Nicholas,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/5/2018,2018-08-05 13:06:14 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/5/2018,2018-08-05 13:42:59 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/5/2018,2018-08-05 18:46:00 UTC,FALSE,Randolph,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/4/2018,2018-08-04 18:01:17 UTC,FALSE,Morgan,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/11/2018,2018-08-11 17:57:11 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/12/2018,2018-08-12 21:38:00 UTC,FALSE,Pocahontas,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/12/2018,2018-08-12 21:50:00 UTC,FALSE,Pocahontas,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/21/2017,2017-08-21 13:52:47 UTC,FALSE,Kanawha,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/15/2018,2018-08-15 17:45:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/23/2018,2018-08-23 20:28:58 UTC,FALSE,Berkeley,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/25/2018,2018-08-25 20:17:17 UTC,FALSE,Gilmer,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/26/2018,2018-08-26 18:34:35 UTC,FALSE,Preston,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/25/2018,2018-08-25 16:32:56 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/29/2018,2018-08-29 23:17:48 UTC,FALSE,Berkeley,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/19/2018,2018-08-19 22:36:39 UTC,FALSE,Hampshire,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/30/2018,2018-08-30 23:08:39 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
